table_name,total_bytes,table_bytes,index_bytes,toast_bytes,total_mb
analytics_events,26812416,35119104,40960,Append-only events. For monthly partitions: migrate table to PARTITION BY RANGE (occurred_at); recreate indexes below on each partition.,25.5703
audit_logs,8052736,1163264,147456,Complete audit trail for all operations,7.6797
analytics_sessions,1171456,1392640,163840,Product analytics sessions; partition parent N/A.,1.1172
vendor_services,581632,1187840,40960,Vendor published services (replaces KV store),0.5547
notifications,1253376,229376,40960,,1.1953
notification_delivery_log,704512,499712,40960,Append-only per-channel delivery history; do not conflate with legacy notification_logs,0.6719
vendors,270336,770048,139264,Vendor profiles - includes availability_configured flag for tracking availability setup completion,0.2578
vendor_onboarding_applications,163840,81920,876544,Vendor application submissions - stores dynamic form data and admin review status,0.1563
processed_events,679936,385024,40960,,0.6484
bookings,376832,606208,57344,Bookings - maps from booking:{id} KV keys,0.3594
search_index,598016,163840,57344,,0.5703
otp_tokens,286720,458752,40960,OTP tokens for authentication and verification,0.2734
vendor_availability_v2,352256,376832,40960,Vendor and staff availability schedules,0.3359
vendor_admin_portal_codes,360448,311296,32768,Short-lived single-use codes for admin-open-vendor-portal; consumed by /auth/vendor-portal-session,0.3438
vendor_earnings,524288,131072,40960,Vendor earnings per booking,0.5000
service_catalog,188416,327680,32768,Master service catalog - replaces platform:service_catalog KV,0.1797
role_permissions,90112,311296,40960,,0.0859
onboarding_forms,139264,81920,204800,,0.1328
customers,106496,196608,122880,Customer profiles - maps from customer:{id} KV keys,0.1016
pets,172032,16384,196608,Pet profiles - maps from customer:{id}:pets KV keys,0.1641
notification_campaign_deliveries,114688,188416,40960,,0.1094
vendor_identity,90112,212992,40960,Vendor authentication and onboarding state - tracks OTP verification and onboarding progress,0.0859
services,229376,73728,32768,Services catalog - maps from service:{id} KV keys,0.2188
auth_operation_rate_events,106496,172032,32768,Append-only events for auth rate limits (e.g. customer password reset OTP sends).,0.1016
payments,114688,155648,40960,Payments - maps from payment:{id} KV keys,0.1094
vendor_specializations,90112,180224,40960,Vendor specializations - many-to-many relationship with problem grid IDs,0.0859
meal_orders,106496,163840,40960,,0.1016
vendor_onboarding_transitions,114688,155648,40960,Audit trail of all onboarding state transitions,0.1094
pharmacy_orders,16384,196608,90112,Pharmacy orders with broadcast and tracking fields,0.0156
support_tickets,57344,188416,57344,Support tickets for customer and vendor issues - used by /admin/support/* endpoints,0.0547
roles,65536,180224,40960,Maps from admin:roles:list KV key,0.0625
device_tokens,81920,147456,40960,Stores FCM tokens for push notifications to mobile/web devices,0.0781
customer_admin_portal_codes,90112,131072,32768,Short-lived single-use codes for admin-open-customer-portal; consumed by /auth/customer-portal-session,0.0859
content_pages,16384,81920,147456,,0.0156
platform_settings,16384,32768,188416,,0.0156
customer_identity,114688,81920,40960,Customer identity and onboarding state - tracks OTP/auth and onboarding progress,0.1094
loyalty_transactions,122880,73728,40960,,0.1172
specialization_master,40960,147456,32768,"Master table for all specializations (problem grid items), managed via Admin Categories tab",0.0391
specialization_symptoms,32768,139264,32768,Symptoms/conditions linked to each specialization for customer search and discovery,0.0313
package_purchases,16384,155648,32768,,0.0156
video_call_sessions,57344,98304,40960,Video call sessions for tele consultations using AWS Chime,0.0547
vendor_refund_tiers,57344,106496,32768,,0.0547
gps_tracking_sessions,8192,139264,40960,GPS tracking sessions for home service bookings - replaces session:tracking:{trackingId} KV keys,0.0078
platform_policies,8192,32768,147456,,0.0078
error_case_occurrences,32768,122880,24576,Links analytics_events error rows to product_error_cases; CASCADE delete when event removed by retention job.,0.0313
meal_plans,16384,122880,32768,,0.0156
problem_grid_mappings,16384,106496,40960,,0.0156
loyalty_action_rules,16384,114688,32768,,0.0156
vendor_wallet_transactions,65536,65536,32768,Vendor wallet ledger (credits/debits); source e.g. loyalty_points,0.0625
customer_loyalty_points,40960,81920,32768,,0.0391
customer_addresses,65536,49152,40960,Customer delivery addresses,0.0625
banners,8192,131072,8192,"Marketing banners displayed in customer app (main carousel, category-specific, etc.)",0.0078
admins,8192,131072,8192,Admin user accounts for platform administration,0.0078
prescriptions,8192,131072,8192,Prescriptions with immutability after finalization (NO KV STORE),0.0078
package_scheduled_sessions,24576,81920,40960,Pre-scheduled sessions for package purchases,0.0234
service_categories,8192,114688,24576,,0.0078
discovery_rules,8192,114688,24576,"Rule book: discovery radius, max results, sort, broadcast steps, follow-up/chat/review/booking timing per role",0.0078
ai_booking_wizard_sessions,40960,65536,32768,Server-backed booking draft for in-chat wizard; slots_snapshot is JSON from available-slots for commit validation when self-HTTP is unavailable,0.0391
wallet_transactions,73728,32768,32768,,0.0703
meal_refund_cases,8192,114688,8192,Admin meal refund review + execution; approved flows run via meal-order-original-refund and webhooks reconcile terminal status.,0.0078
vendor_referrals,8192,114688,8192,,0.0078
reviews,8192,114688,8192,Customer reviews and ratings for vendors,0.0078
ai_chatbot_conversations,49152,49152,32768,Per-turn AI assistant log; escalation_ticket_id links open tickets for agent transcript,0.0469
regions,24576,49152,49152,"Maps from region_india, region:{id} KV keys",0.0234
action_sources,24576,65536,32768,,0.0234
vendor_daily_accrual,16384,65536,40960,"Per-vendor accrual for calendar day in Asia/Kolkata; sums vendor_earnings by realized_at in [day 00:00, next day 00:00) IST.",0.0156
products,16384,73728,32768,,0.0156
vendor_bank_details,16384,65536,40960,Vendor bank account details for payouts,0.0156
customer_profile_completion,24576,65536,32768,Tracks customer profile completion status - gates full platform access,0.0234
gps_location_history,32768,65536,24576,,0.0313
support_ticket_responses,24576,65536,32768,,0.0234
support_ticket_activity,40960,49152,32768,Admin operational timeline for support tickets (not customer-facing),0.0391
delivery_tracking,8192,106496,8192,,0.0078
medical_records,8192,98304,8192,Immutable medical records (NO KV STORE),0.0078
pidge_hyperlocal_webhook_events,16384,65536,32768,Idempotent archive of Pidge hyperlocal webhooks (e.g. meal logistics cancel); payload retained for ops/disputes.,0.0156
banner_clicks,40960,40960,32768,,0.0391
product_error_cases,16384,57344,40960,Allyticas error triage: one row per fingerprint; occurrence_count increments on ingest (may exceed remaining rows after analytics retention deletes events).,0.0156
customer_subscriptions,0,106496,8192,Customer subscriptions to vendor-created plans,0.0000
chat_messages,16384,65536,32768,,0.0156
loyalty_segments,8192,98304,8192,Customer/vendor segments for loyalty rule targeting,0.0078
vendor_tiers,8192,81920,8192,Vendor subscription tiers with commission rates,0.0078
vendor_wallets,16384,49152,32768,Vendor INR wallet; loyalty points convert to balance (100 pts = 1 INR),0.0156
diagnostic_tests,8192,81920,8192,,0.0078
product_skus,8192,81920,8192,"Sellable SKU rows per product (size/color combos with own price, stock, images)",0.0078
payouts,16384,49152,32768,Payouts - maps from payout:{id} KV keys,0.0156
tax_categories,8192,81920,8192,,0.0078
sample_collection_assignments,0,81920,8192,"Stores staff assignments for home diagnostic sample collection, replacing KV store usage",0.0000
customer_segment_assignments,8192,81920,0,Cached customer segment memberships for performance,0.0078
vendor_breaks,32768,16384,40960,,0.0313
pet_listings,0,81920,8192,Pet listings for sale - maps from pet:listing:{listingId} KV keys,0.0000
user_roles,8192,81920,0,"Stores user role assignments, replacing KV store usage (user:{userId}:roles keys)",0.0078
service_packages,8192,65536,8192,,0.0078
reward_catalog_links,8192,65536,8192,Pool of unique coupon URLs per catalog reward; one link assigned per customer redemption,0.0078
reward_redemptions,8192,65536,8192,History of catalog reward redemptions per customer,0.0078
logistics_partners,8192,65536,8192,"Logistics partners configuration for Shiprocket, Delhivery, Dunzo, etc.",0.0078
meal_subscription_deliveries,0,73728,8192,Canonical per-delivery operational sessions for meal subscriptions,0.0000
settlements,8192,65536,8192,,0.0078
delivery_settlements,8192,65536,8192,,0.0078
ecommerce_policies,8192,65536,8192,"Ecommerce policies for vendors - return, shipping, warranty, refund",0.0078
coupons,8192,65536,8192,Coupon codes for discounts,0.0078
gst_rules,8192,65536,8192,,0.0078
support_agents,8192,65536,8192,"Support CRM agents (user_id = admins.id, staff_id legacy)",0.0078
